Training-set,CASF-2016,PDBbind2017-2020,CSAR
4jj8,,5d3x,
4jje,,6mlo,
4jjf,,1w4o,
4jjg,,5x26,
4jjm,,5vnb,
4jjq,,5tqg,
4jjs,,6oht,
4jju,,6qyo,
4jk5,,5npe,
4jk6,,6fse,
4jkt,,5urm,
4jlg,,5o9y,
4jlh,,4yje,
4jlj,,6mhm,
4jlm,,6e9l,
4jln,,6qau,
4jls,,6naf,
4jmg,,6d6t,
4jmh,,6jdi,
4jmu,,5aqv,
4jmx,,5zxi,
4jn4,,6o0o,
4jnc,,5qax,
4wz5,,5khm,
4wz8,,6eji,
4wzv,,6myn,
4x0f,,6dha,
4x0u,,5qb1,
4x0z,,5q13,
4x13,,5kbq,
4x14,,5duc,
4x1f,,5ehe,
4x1n,,5qaf,
4x1p,,6dgl,
4x1q,,5xg5,
4x1r,,5hcx,
4x1s,,2r9w,
4x21,,5wbl,
4x2l,,2d1o,
4x2s,,6rj3,
4x34,,6em7,
4x3e,,6p14,
4x3h,,3gbb,
4x3i,,2xhm,
4x3r,,5edc,
4x3s,,5hn7,
2a4q,,6jof,
2a4r,,5wg6,
2a4w,,5f2r,
2a4z,,6qmu,
2a58,,5x4p,
2a5u,,5iaw,
2a8h,,5llh,
2aa6,,6q7v,
2aa9,,5kx7,
2aay,,6rfw,
2ad5,,2zxd,
2ada,,6d1g,
2adm,,6skb,
2adu,,5u48,
2aeb,,6sde,
2aei,,6bd1,
2ael,,5nf5,
2aez,,5zt1,
2agv,,5lsx,
2ai7,,5l26,
4ay5,,5moe,
4ay6,,6htt,
4ayr,,6ciy,
4ayt,,5ejv,
4ayv,,5obj,
4ayw,,5efj,
4ayx,,4yhm,
4ayy,,6g29,
4az0,,5lvf,
4az2,,6oyh,
4az3,,5f1h,
4aza,,6fgf,
4aze,,6e0q,
4azf,,5sys,
4azp,,5tzw,
4azt,,5ur1,
4azy,,6o6g,
4b00,,6hor,
4b05,,5hcy,
4b0c,,5ovc,
5akw,,6q3z,
5akz,,5epr,
5al1,,5b6g,
5al2,,6f86,
5al3,,5iql,
5al4,,5k6a,
5al5,,6hzy,
5alc,,6d19,
5ald,,6efk,
5ale,,5g3w,
5alf,,5f4p,
5alg,,5h9p,
5alh,,6dgz,
5ali,,5mge,
5alj,,6dl2,
5alk,,6dhc,
5all,,5icv,
5alm,,5j64,
5aln,,5to8,
5alo,,4w9w,
5alp,,5oot,
5alr,,5zjf,
5als,,3n76,
5alt,,3i3b,
5alu,,6r9x,
5alv,,6b4h,
5alw,,5xag,
5alx,,5mky,
5aly,,5qa5,
5alz,,6ilz,
2yim,,5olk,
2yiq,,5ouh,
2yir,,6i0x,
2yis,,5yp5,
2yit,,5qby,
2yiu,,2qmj,
2yiv,,5umz,
2yiw,,6ggv,
2yj2,,2n0w,
2yj8,,6d07,
2yj9,,6gg3,
2yjb,,5unj,
2yjc,,2n9x,
2yjq,,6oac,
2yjw,,5m0s,
2yjx,,6jn5,
2yk9,,5mxf,
2ykb,,4y4j,
2ykc,,6op0,
2yke,,5mk9,
2ykj,,6ckw,
2ylo,,6udy,
2ylp,,5n25,
2ylq,,5vqz,
2ym3,,5vom,
2ym4,,5uv2,
2ym5,,4uxb,
2ym6,,5mfr,
2ym7,,6epy,
2ym8,,6bx6,
2ymt,,6ct7,
2ynd,,4uj1,
3q3t,,6aej,
3q43,,5g22,
3q4b,,5w0l,
3q4c,,6f29,
3q4j,,6jap,
3q4k,,5fe9,
3q4l,,5n9s,
3q5h,,5dtr,
3q5u,,6faw,
3q6k,,5lz5,
3q6s,,5aan,
3q72,,5ew0,
3q77,,6uyy,
3q7j,,6c9s,
3q7p,,6g4m,
3q8d,,6gdg,
3q8h,,5tbm,
3q92,,5np8,
3q96,,6haz,
3qa2,,6qm7,
3qai,,6ajz,
3qak,,5e8a,
3qaq,,5n16,
3qar,,6fkp,
3qbh,,6gvh,
3qbn,,6jaw,
3qc4,,5tt7,
3qc9,,6bdy,
3qce,,6eqm,
3qcf,,6guh,
3qch,,6g2l,
3qci,,4djr,
3qcj,,6un1,
3qck,,5n87,
3qcl,,5eeq,
1q4x,,5dwr,
1q5l,,5fqp,
1q63,,6gcr,
1q66,,5vfc,
1q6j,,6uwp,
1q6k,,6mnf,
1q6m,,5wcm,
1q6n,,6r5f,
1q6p,,5mm9,
1q6s,,5xyf,
1q6t,,6f7b,
1q83,,6oio,
1q95,,4yqu,
1q9d,,5g53,
1q9m,,6qcg,
1qaq,,5hdx,
1qca,,5n2t,
1qcp,,6jsn,
1qf4,,5wlg,
1qf5,,5ful,
1qfs,,6di0,
1qhr,,6cec,
1qiw,,5wip,
1qj1,,6mmq,
1qj6,,5ows,
1qj7,,6evp,
1qja,,6r12,
1qjb,,6p3v,
1qkn,,6uvy,
1qku,,5zkc,
1qm4,,3pww,
1qm5,,6e4c,
1qng,,5u8a,
3r9o,,5l2w,
3rah,,6dlx,
3rak,,6hgf,
3ral,,5m3b,
3rbm,,6pi6,
3rbq,,5w2p,
3rcd,,6qg4,
3rcj,,6u7p,
3rde,,5klz,
3rdh,,5w94,
3rey,,6ft3,
3rg2,,5mxq,
3rhk,,5j8i,
3rhx,,5nfa,
3ri1,,5axi,
3rik,,6csf,
3ril,,5ief,
3rin,,5a6i,
3rj7,,6i15,
3rjc,,5ti6,
3rjm,,5ujv,
3rjw,,4ui7,
3rk5,,5nud,
3rk7,,6nmb,
3rk9,,5vqy,
3rkb,,5t1a,
3rkz,,5t1m,
3rl3,,5nn0,
3rl4,,5nme,
3rl7,,6j7l,
3rl8,,6jwa,
3rm8,,6n4e,
3rme,,6cz4,
3rmf,,5yl2,
3rni,,6ugz,
3ant,,3wtj,
3aox,,6bm6,
3ap7,,5wfj,
3apc,,6pgo,
3aqa,,4ui5,
3ara,,5hmi,
3arb,,5c2h,
3ard,,6gxb,
3are,,2cbv,
3arf,,5ta6,
3arg,,5a1f,
3arn,,5f4u,
3art,,6f5u,
3arz,,5eni,
3as0,,5w8h,
3as1,,6p88,
3as2,,5y7k,
3as3,,1u1b,
3ask,,5ivc,
3asl,,5fa7,
3asx,,6maj,
3at1,,5n1r,
3at3,,6cvf,
3at4,,5law,
3ati,,6mt4,
3atk,,5xpl,
3atl,,6duh,
3atm,,5zty,
3atp,,6fnj,
3atu,,6uwv,
3atv,,6i41,
3atw,,5gmu,
3au6,,6pia,
3av9,,6npi,
3ava,,5nwk,
3avb,,5il1,
3avf,,6o5a,
3uig,,5adr,
3uih,,5mql,
3uii,,6hot,
3uij,,6qls,
3uik,,5fi2,
3uix,,6pl3,
3ukr,,5d0j,
3uli,,5nkb,
3ump,,6duf,
3umw,,5w8v,
3umx,,5csh,
3unj,,6b7f,
3unk,,6hoq,
3unn,,5evk,
3unz,,6b27,
3uo5,,5nvw,
3uo6,,5v5e,
3uo9,,6nzf,
3uoh,,6s5k,
3uoj,,5xmx,
3uok,,6qw9,
3uol,,5x4o,
3up7,,6g9h,
3upf,,5dlz,
3uph,,5ia3,
3upi,,5kva,
3upx,,6fut,
3upy,,4y3j,
3upz,,5tus,
3uqf,,5lce,
3uqg,,6bqh,
1auj,,5ni5,
1avd,,5eak,
1avp,,2zda,
1aw1,,6d5j,
1awf,,6cjr,
1awh,,6equ,
1awi,,5cu2,
1ax1,,6e4a,
1ax2,,5fpi,
1axr,,5nn4,
1axs,,5l4f,
1axz,,6b5q,
1ayu,,5mwa,
1ayv,,6pnn,
1aze,,5ol3,
1azg,,6rne,
1azl,,5jfp,
1azx,,6nzg,
1b0f,,5iz8,
1b11,,6qav,
1b2i,,6iby,
1b2m,,5i86,
1b39,,5t2i,
2jbu,,6fjf,
2jbv,,5hk1,
2jc0,,5vij,
2jdl,,2g70,
2jdn,,5hkb,
2jdo,,6ke0,
2jdt,,5c1y,
2jdv,,3utu,
2jg8,,6idg,
2jiu,,6ohu,
2jj3,,5tp0,
2jjk,,5dt2,
2jjr,,5u0d,
2jk7,,6gmd,
2jk9,,3b65,
2jkk,,5fdg,
2jkm,,6n5f,
2jko,,5q0y,
2jkq,,6mln,
2jkr,,5zdg,
2jkt,,5u4f,
2jld,,5eu1,
2jle,,5t97,
2jmj,,5ka3,
2jnp,,6s7z,
2jnw,,5oha,
2jo9,,5el2,
2joa,,5epn,
2jq9,,5yr6,
2jqi,,6q9u,
2jqk,,6fo8,
2jql,,5dfp,
2jsd,,5nzf,
2jst,,6hv2,
2jt5,,5ma7,
2jt6,,5vgy,
2jup,,5jek,
2k00,,6b30,
2iw9,,5f4l,
2jbp,,6gl3,
2k0g,,6q54,
2kp8,,4ca4,
2lcs,,5o4f,
2m3z,,1z6e,
2nqi,,5drt,
2o7n,,6hni,
2ohs,,6huu,
2osc,,6hpg,
2p4i,,5ta4,
2pja,,5chk,
2q3z,,5fsn,
2qhr,,5ur5,
2qtr,,5org,
2r4f,,6r0v,
2rjs,,6ovc,
2uw7,,4zw5,
2v86,,6pka,
2vfz,,5k5c,
2vqm,,5nfb,
2vwv,,6g34,
2w1d,,5j9z,
2w92,,5t23,
2wic,,5ef7,
2wuu,,6eku,
2x6i,,5ybe,
2xaq,,6mh7,
2xg5,,5ho6,
2xml,,4zx6,
2xu5,,5k5e,
2xz5,,6qh9,
2y3p,,6djc,
2y8o,,4zyq,
2yig,,5l0c,
2yne,,4yxo,
1jwt,,6axk,
1ryf,,5vs6,
2ieh,,5eqy,
2zaz,,5ho7,
3kpw,,5gnk,
3vtc,,6rtw,
4cqe,,5emj,
4i0f,,5ody,
4qsm,,6fzm,
4xyc,,5ny1,
2v87,,5x13,
2v96,,6d5e,
2va5,,5epy,
2va6,,5eld,
2va7,,5m2q,
2vaq,,6bmx,
2vcb,,4m0y,
2vcg,,5v4b,
2vci,,6ecz,
2vcj,,4ybj,
2vcq,,6hvt,
2vcw,,6ev0,
2vcx,,6g9k,
2vd0,,5ei4,
2vd1,,3ov1,
2vd4,,5n8j,
2vd7,,5wqc,
2veu,,5hd0,
2vev,,6hzu,
2vew,,5lgo,
2vex,,5hed,
2vey,,5cdh,
2vf6,,5glu,
1it6,,5ti3,
1iup,,6ckx,
1iwq,,5zcu,
1iyl,,3gnw,
1j07,,5mts,
1j15,,5f94,
1j19,,6ixd,
1j1a,,6h37,
1j4k,,5j9k,
1j4p,,5wqk,
1j4q,,5nk4,
1j5i,,5ofv,
1j7z,,6czb,
1j80,,5aqp,
1j81,,6pvw,
1jbd,,5uit,
1jd0,,5eym,
1jd5,,5b5b,
1jd6,,6by8,
1jdj,,4v0i,
1jg0,,5wfd,
1jh1,,5v35,
1jif,,6qln,
1jii,,6e2m,
1jij,,6dpt,
1jik,,5moc,
1jil,,5jgd,
1jiz,,6prf,
1jj9,,6hoi,
1jje,,5tzc,
1jjk,,5i89,
1jjt,,2ndg,
1jk7,,6d1a,
1jld,,5qcl,
1jlq,,6hzp,
1jlx,,5tuz,
1d4w,,5w12,
1d5j,,6c7e,
1d5r,,5oh2,
1d6n,,5yie,
1d6s,,5zob,
1d7x,,6oqn,
1d8e,,6cyg,
1d8f,,6j8r,
1d8m,,5fsb,
1db1,,5evb,
1db4,,5qck,
1db5,,4y3y,
1dbb,,6ar2,
1dbj,,5om2,
1dbk,,6p10,
1ddm,,6d55,
1dg9,,4m7y,
1di8,,6hlx,
1di9,,5mtv,
1dis,,6fmk,
1dkd,,5yzc,
1dm2,,6cjj,
1dmb,,5zmq,
1dmt,,5g11,
1doj,,6e1z,
1dpu,,3bv9,
1dqx,,5jf8,
1dth,,5ufi,
1dtq,,6eq6,
1dtt,,4kzq,
1dub,,5kq5,
1dva,,6nu1,
1dwc,,6nv9,
1dwd,,5y1u,
1dx6,,6f6u,
1dxp,,5v5o,
1dzj,,6g5l,
1dzm,,5fnc,
1dzp,,6hd6,
1o47,,5ykp,
1o48,,6bqj,
1o49,,5aqz,
1o4a,,5obr,
1o4b,,6gfy,
1o4d,,3x1k,
1o4e,,6f92,
1o4f,,6ekq,
1o4g,,6qat,
1o4h,,5fbe,
1o4i,,5em3,
1o4j,,6aox,
1o4k,,6hgr,
1o4l,,6hah,
1o4m,,6hmy,
1o4n,,5two,
1o4o,,5ygf,
1o4p,,6ugq,
1o4q,,5t27,
1o4r,,5w3i,
1o5f,,6h50,
1o5m,,6mxd,
1o5p,,4g8m,
1o6h,,4z16,
1o6i,,5u4b,
1o6q,,6mtv,
1o6r,,5ofx,
1o79,,5gn5,
1o8b,,5ie1,
1o9d,,6h5w,
1o9e,,6fau,
1o9k,,6fbw,
1oai,,6h7y,
1oay,,6bj2,
1obx,,6hax,
1ocn,,3pxf,
1ody,,5kre,
3hfj,,6hp5,
3hfv,,6p3u,
3hfz,,6hkx,
3hg1,,5vp0,
3hha,,6cgp,
3hhk,,6g84,
3hhm,,5w1w,
3hhu,,6ek3,
3hii,,6mmc,
3hik,,5os4,
3hio,,5hh4,
3hiv,,5tol,
3hiw,,6ipi,
3hj0,,6hp9,
3hjo,,6o0h,
3hlo,,4j5b,
3hmm,,5t2t,
3hmv,,5x79,
3hnb,,6au9,
3hng,,5i5z,
3hnz,,5ox6,
3ho2,,5f25,
1m74,,5ggn,
1m7q,,5h8b,
1m9n,,5osl,
1mau,,5kqx,
1maw,,6drt,
1mcz,,5zo9,
1mdl,,5dgm,
1me3,,4uc5,
1me4,,6dh1,
1me7,,6f8w,
1me8,,1o0h,
1mem,,6hva,
1meu,,5ggj,
1mf4,,6k1s,
1mfg,,5om3,
1mhw,,4za0,
1mik,,5nih,
1mj7,,2xbv,
1mkd,,5nob,
1ml1,,5ort,
1mm6,,6gzd,
1mm7,,5mhp,
1mmp,,6oah,
3sff,,6n83,
3sfh,,5hld,
3sfi,,3dx1,
3sgt,,6nv7,
3sgv,,5uwn,
3sgx,,5kv8,
3sh0,,6nss,
3sh1,,1p1n,
3shb,,5kns,
3shj,,6nzk,
3shv,,5i83,
3shy,,5wag,
3shz,,6ge0,
3sie,,5w1v,
3sji,,6evq,
3sjo,,4bkt,
3sjt,,5wa4,
3ska,,6a80,
3skc,,6f6d,
3ske,,6fv1,
3skf,,6fe0,
3skg,,6cvx,
3skh,,6cyi,
3skk,,1owh,
3sl0,,6a84,
3sl1,,6cze,
3sl4,,6md4,
3sl5,,6gu2,
3sl8,,5os3,
3sm0,,5jy0,
3sm1,,5i3x,
3smq,,6fi5,
3sn7,,6hgi,
3sn8,,5j6a,
2p59,,6dub,
2p83,,5hmy,
2p8h,,5sz9,
2p8n,,5fcz,
2p8o,,5g45,
2p8s,,5tco,
2p93,,5yso,
2p94,,5g17,
2p98,,5mek,
2p99,,6k2n,
2p9a,,6got,
2pax,,5nz4,
2pcu,,6phx,
2pe0,,5hx6,
2pe1,,5dyt,
2pe2,,5ivz,
2peh,,3prs,
2pem,,5ura,
2pg2,,5ayt,
2pgj,,5npr,
2pgl,,5wuk,
2ph6,,6epz,
2ph8,,1lol,
2ph9,,6n0k,
2phb,,6cqf,
2pix,,6gxu,
2piy,,5h63,
2piz,,6a87,
2pj0,,5a3r,
2pj1,,5jhk,
2pj2,,6prt,
2pj3,,3fcq,
2pj4,,5yc8,
2pj5,,6i9a,
2pj6,,5q1a,
2pj7,,5eel,
2pj8,,5ur9,
2pj9,,5xii,
2nsx,,6d4w,
2ntf,,5he7,
2nv7,,4djv,
2nw4,,3g2n,
2nwl,,5wqj,
2nwn,,6uyx,
2nww,,6ghv,
2nxd,,5wfm,
2nxl,,6r4v,
2nxm,,5wef,
2nyr,,6b2c,
2o1c,,6fhu,
2o1v,,5itf,
2o22,,6b33,
2o2u,,6gcl,
2o3p,,5x33,
2o3z,,5xig,
2o48,,5sz1,
2o4h,,5g1z,
2o5d,,5lck,
2o5k,,1mwt,
2o63,,6gbw,
2o64,,5yql,
2o65,,6b5j,
2o7e,,6b59,
4nud,,2qbp,
4nuf,,5zbz,
4nus,,5fnj,
4nvq,,6ayn,
4nw2,,5ugh,
4nw5,,6oyt,
4nw6,,5ka7,
4nw7,,5igk,
4nwd,,6qeg,
4nwk,,5o7e,
4nwm,,6eqv,
4nxo,,5dey,
4nxs,,4zki,
4ny3,,6eq8,
4nyi,,5zh3,
4nyj,,5njx,
4nym,,6fba,
4nyt,,6fv2,
4nzb,,5fbn,
4nzm,,6pyu,
4nzn,,6jid,
4nzo,,6e5b,
4o0j,,6hmr,
4o0r,,5tyl,
4o0t,,4znx,
4o0v,,6quv,
4o0z,,4odp,
4o10,,6dim,
4o12,,5ey8,
4o13,,5i8b,
4o15,,6e1a,
4o1b,,5ekm,
4o1d,,5tuq,
2qtu,,5t1k,
2qu2,,3qqs,
2qu3,,5nar,
2qu5,,5lm4,
2qve,,5y21,
2qwg,,6ny0,
2qyk,,5u6j,
2qyl,,3d4z,
2qyn,,6r49,
2qzk,,3ehy,
2qzl,,5mgx,
2qzx,,6g91,
2r02,,5ei6,
2r03,,6c7g,
2r05,,6hvu,
2r0u,,6op9,
2r0y,,5n0d,
2r1w,,6b7d,
2r1x,,6guk,
2r2l,,5jt9,
2r3c,,5i3a,
2r3f,,6quw,
2r3g,,6j6m,
2r3h,,6hmp,
2r3i,,5ovh,
2r3j,,5yp6,
2r3k,,6ekn,
2r3l,,5ufs,
2r3m,,5tbp,
2r3n,,5w7j,
2r3o,,5z1t,
2r3p,,5myv,
2r3y,,5ant,
2r4b,,6oyz,
1ryh,,5yy6,
1rzx,,6mhc,
1s17,,6u8o,
1s26,,5fut,
1s3k,,6seo,
1s4d,,4ufy,
1s50,,5z89,
1s5q,,5c4l,
1s64,,5u2e,
1s9t,,5twh,
1s9v,,1z95,
1sc8,,5cxi,
1sfi,,5ljq,
1shc,,4hge,
1shd,,6c7f,
1sj0,,6gy1,
1sje,,6mso,
1sjh,,5nkc,
1skj,,5nk9,
1sle,,5tdw,
1slg,,5m4q,
1sm2,,6g2s,
1sm3,,6h12,
1sme,,5lzh,
1snk,,5op2,
1so2,,6a9o,
1soj,,5jdc,
1sps,,5ar0,
1sqb,,5sz4,
1sqc,,6gw1,
1sqi,,6bfe,
1sqn,,6euc,
1sqp,,5jh6,
1sqq,,5xij,
1sre,,4x2i,
1sri,,5g4m,
1std,,5u62,
1stp,,6knh,
1xxe,,5wcl,
1xxh,,5yqn,
1xxi,,4y24,
1xz8,,6mla,
1xzx,,6g46,
1y0x,,6s88,
1y19,,6sfi,
1y1m,,6g92,
1y2a,,5v19,
1y2b,,6m8a,
1y2c,,5k0t,
1y2d,,5l2n,
1y2e,,5ty1,
1y2f,,5nt0,
1y2g,,6faa,
1y2h,,6m8w,
1y2j,,5i58,
1y2k,,5mb1,
1y3a,,6f5l,
1y3g,,5vb5,
1y3w,,6oxw,
1y3y,,6qhb,
1y4z,,6g38,
1y57,,4xhl,
1y6a,,6uil,
1y6b,,5qbv,
1y8o,,6hkm,
1y8p,,5h0b,
4oya,,4zsl,
4oyb,,6dik,
4oyg,,3n7a,
4oyi,,6rz6,
4oyk,,2pcp,
4oym,,5vih,
4oyo,,5n1z,
4oyp,,6b4n,
4oys,,5cuq,
4oyt,,6c0n,
4oz1,,5kit,
4oz2,,6oyw,
4oz3,,6of5,
4ozl,,5jmw,
4ozn,,5wzt,
4ozo,,5i94,
4p00,,5u8f,
4p02,,4uj2,
4p0a,,6bic,
4p0b,,5k0m,
4p0n,,6om8,
4p0v,,5v3h,
4p0w,,6et8,
4p0x,,5n7b,
4p10,,6nnr,
4p1r,,6i77,
2wig,,6bmv,
2wih,,5uff,
2wij,,5h14,
2wik,,5zwf,
2wj1,,5lrq,
2wj2,,6d49,
2wji,,5ei2,
2wk2,,5dw2,
2wks,,6eir,
2wkt,,6g9b,
2wl4,,5yls,
2wl5,,6i5p,
2wmr,,5m0d,
2wmu,,6asz,
2wmv,,5nxq,
2wmw,,6b5r,
2wmx,,5ye7,
2wnl,,5g43,
2wo8,,5wa7,
2wo9,,6qwb,
2woa,,6bvb,
2won,,5bs0,
2woq,,5eec,
2wot,,6mlj,
2wou,,6hlz,
2wp1,,5tpc,
2wpa,,5lt9,
2wpb,,6gxw,
2wq4,,6mja,
2wqb,,6qlr,
2wsx,,5mqt,
2wtc,,6pys,
2wtd,,5t2p,
2wti,,4w9c,
2wtj,,5o5h,
2wtw,,5jha,
2wtx,,5ovx,
2wu6,,5tgc,
2wu7,,5lxd,
4gs9,,5khg,
4gsc,,5fnt,
4gsy,,4ea2,
4gtm,,5ty9,
4gto,,5l96,
4gtp,,6ps5,
4gtq,,5k00,
4gtr,,6eum,
4gts,,6g27,
4gtt,,6cwh,
4gtv,,5orh,
4gui,,6oqb,
4guj,,6saf,
4gv1,,5gv2,
4gv8,,6fe5,
4gvc,,5mwp,
4gvd,,5ggl,
4gvm,,3s8o,
4gvu,,3u8k,
4gw1,,6k5t,
4gw5,,5w7i,
4gw6,,6mmo,
4gw8,,5wyz,
4gwi,,5oyd,
4gwk,,5wg7,
4gxl,,5kyj,
4gxs,,6b1k,
4gy5,,6dko,
4gye,,5hg1,
4gz3,,5kam,
4gzf,,5q0x,
4h1e,,6c28,
4h1j,,6djj,
4h1m,,5ug8,
1h1p,,5f90,
1h1q,,5ktx,
1h1r,,6f94,
1h24,,6oiq,
1h25,,5myl,
1h26,,6njj,
1h27,,5fso,
1h28,,6ajh,
1h2u,,5f0f,
1h35,,3bpc,
1h36,,5lom,
1h37,,6peb,
1h39,,6fzp,
1h3a,,5q0p,
1h3b,,6bib,
1h3c,,5kax,
1h3h,,6nvj,
1h4n,,5upe,
1h5u,,6dgr,
1h60,,6kzd,
1h61,,5w13,
1h62,,5jss,
1h6e,,5ov9,
3wf6,,5vcz,
3wf7,,5dcz,
3wf8,,5osk,
3wf9,,6ftn,
3wff,,5dsx,
3wfg,,5mlw,
3wgw,,5c0m,
3whw,,6e7w,
3wi2,,5y59,
3wi6,,6hwu,
3wig,,6bs5,
3wix,,4ujb,
3wiy,,5fqt,
3wiz,,5zwe,
3wk4,,5h8e,
3wk5,,6i14,
3wk6,,5dht,
3wk7,,4eky,
3wk8,,5wa5,
3wk9,,5nvv,
3wka,,5kjk,
3wkb,,5n70,
3wkc,,6fmj,
3wkd,,5v1b,
3wke,,5oa6,
2xn6,,4j58,
2xn7,,6p89,
2xne,,3lka,
2xng,,4xg9,
2xni,,5j8x,
2xnm,,5wlt,
2xnn,,5c28,
2xno,,5llg,
2xnp,,5j5r,
2xo8,,6c8x,
2xoi,,6apw,
2xow,,6ej2,
2xp2,,5fe7,
2xp3,,6aoy,
2xp4,,3k5v,
2xp5,,5a6b,
2xp6,,5ey9,
2xp8,,5tdi,
2xpa,,6ghj,
2xpb,,5nvz,
2xqq,,6st0,
2xru,,6fng,
2xrw,,5ijr,
2xs0,,6afh,
2xs8,,5sy3,
2xsb,,6h29,
2xtk,,4yv8,
2xtn,,6tel,
2xto,,5xih,
2xu1,,5eyc,
2xu3,,6gzl,
2xu4,,6eol,
3cs8,,5m17,
3csl,,5dyy,
3cso,,6mjj,
3cst,,6emu,
3cth,,5nw2,
3ctj,,5ulg,
3ctq,,5f5i,
3ctr,,5ddc,
3cvk,,5v4q,
3cwe,,4rqi,
3cwj,,5zku,
3cwk,,6oxt,
3cx9,,5eek,
3cy2,,5mme,
3cyu,,5mfs,
3cyy,,5zhl,
3d04,,6aec,
3d14,,5m7m,
3d1e,,6uf0,
3d1f,,5ml0,
3d1g,,5f1v,
3d1v,,6f7q,
3d20,,3f3d,
3d25,,4u7o,
3d27,,5o91,
3d28,,5j9x,
3ns9,,5l9i,
3nsh,,6b95,
3nsq,,5du4,
3nth,,5mwh,
3nti,,5hm0,
3ntp,,5ni0,
3nus,,6hb5,
3nuu,,6hh3,
3nuy,,5ls6,
3nw5,,6miy,
3nw6,,6fo9,
3nw7,,4ogj,
3nwb,,5avf,
3nwe,,5upz,
3nww,,2pq9,
3nyn,,4zv2,
3nzc,,6ckc,
3nzi,,4ydf,
3nzs,,6f8r,
3nzu,,5k0s,
3nzw,,6ibl,
3nzx,,6n3l,
3o0e,,5ka1,
3o0g,,5kz0,
3o0j,,6plg,
3o0u,,6cnj,
3o1d,,6fyp,
3fuh,,5dqf,
3fui,,3f3e,
3fuj,,5os7,
3fuk,,5dhs,
3ful,,5wh6,
3fum,,6f2n,
3fun,,6czc,
3fup,,5bpp,
3fv7,,6np3,
3fv8,,5w5j,
3fvg,,3cyx,
3fw3,,6cex,
3fw4,,6ggf,
3fxb,,5l6h,
3fxv,,6gxa,
3fxw,,3ary,
3fxz,,5wap,
3fy0,,2v00,
3fyj,,6imd,
3fyk,,5n6s,
3fyz,,5vt4,
3fz1,,1h23,
3fzc,,5zyl,
3fzr,,5ur6,
3fzs,,5tza,
3fzt,,5nwc,
3g0b,,6np4,
3g0c,,5yv5,
3g0d,,6n5h,
1vj9,,6u5y,
1vja,,5jjs,
1vjb,,6aud,
1vjc,,5fsc,
1vjd,,6qmd,
1vjy,,6n9p,
1vkj,,6ndl,
1vot,,6f96,
1vr1,,6mlg,
1vrt,,5c1x,
1vru,,5hbj,
1vsn,,6hdn,
1vwf,,6fu1,
1vwl,,6hu0,
1vwn,,5izu,
1vyj,,5klt,
1vyq,,5f1l,
1vyw,,5qb3,
1vyz,,5anw,
1w0x,,5xg4,
1w0y,,5vm0,
1w10,,5b56,
1w12,,6cer,
1w14,,5y8y,
1w1d,,5k32,
1w1g,,6dne,
1w1p,,6hwv,
1w1t,,6jse,
1w1v,,6bsk,
1w1y,,6pi7,
1w22,,5v88,
1w25,,6fvl,
1w2g,,5y53,
4qsw,,5jnl,
4qsx,,5j6n,
4qt0,,6euz,
4qt1,,5mz8,
4qt2,,5fpp,
4qta,,6kmj,
4qtb,,3f17,
4qtc,,5u4c,
4qtd,,5lgs,
4qtn,,5hfu,
4quo,,5gn9,
4qvl,,6d4a,
4qvm,,4msc,
4qvn,,5f2p,
4qvp,,5cw8,
4qvq,,6gxg,
4qvv,,6ny4,
4qvw,,6dvn,
4qvx,,6i65,
4qvy,,5iu7,
4qw0,,5nf9,
4qw1,,5umy,
4qw3,,6mu3,
4qw4,,5gwz,
4qw5,,5oxn,
4mw9,,4zam,
4mwb,,2fvd,
4mwc,,2br1,
4mwe,,6qtr,
4mwq,,5t4e,
4mwr,,5wp5,
4mwu,,6qmr,
4mwv,,5wdw,
4mww,,5nmg,
4mwx,,5olb,
4mwy,,5fkj,
4mx0,,6hov,
4mx1,,5ia5,
4mx5,,3syr,
4mx9,,6i76,
4mxa,,6b67,
4mxc,,6i7a,
4my6,,2n1g,
4myh,,5f9e,
4myq,,5fsm,
4mz4,,5ybi,
4mz5,,5oqw,
4mz6,,6i63,
4mzf,,5szb,
4mzh,,5q0u,
4mzj,,5mnn,
4mzk,,4zx5,
4mzl,,5l9l,
4mzo,,6dji,
4mzs,,5mxx,
4n00,,5o5f,
4n1b,,6f90,
4n1t,,5ez0,
4n1u,,5vii,
4cgj,,5km0,
4ch2,,5lvx,
4ch8,,5h2u,
4ci1,,6idz,
4ci2,,6g2a,
4ci3,,5l7g,
4cik,,5jn8,
4civ,,5u6c,
4cix,,5mnr,
4ciy,,5yy4,
4ciz,,5q1d,
4cjn,,5wir,
4cki,,6fjm,
4ckj,,5he5,
4ckr,,5ula,
4cku,,6nvh,
4cl9,,5nvy,
4clb,,5ejw,
4cli,,5n20,
4clp,,5t1w,
4clz,,5adt,
4cmt,,4zsh,
4cmu,,6qmk,
4cnh,,6eru,
4cpq,,5mri,
4cpu,,5v8q,
4cpx,,5o1h,
4cq0,,6hb6,
4kot,,5foo,
4kov,,6dh2,
4kox,,4xek,
4kp0,,5o0j,
4kp4,,6fo5,
4kp6,,6mep,
4kpx,,6biv,
4kpz,,5fat,
4kql,,6gge,
4kqo,,5f27,
4kqq,,4ux9,
4kqr,,6e9a,
4krs,,5l4m,
4ks2,,6g3c,
4ks3,,5zni,
4ks5,,6g39,
